09/25/2024 21:12:39.129526 ./pingserver:     Creating C150NastyDgmSocket(nastiness=4)
09/25/2024 21:12:39.132712 ./pingserver:     Ready to accept messages
09/25/2024 21:12:50.012438 ./pingserver:     C150DgmSocket::read: successful read with len=2 |f.|
09/25/2024 21:12:50.012460 ./pingserver:     C150NastyDgmSocket::read: dropping packet of length 2 |f.|
09/25/2024 21:12:51.027818 ./pingserver:     C150DgmSocket::read: successful read with len=2 |f.|
09/25/2024 21:12:51.027838 ./pingserver:     C150NastyDgmSocket::read: dropping packet of length 2 |f.|
09/25/2024 21:12:52.051838 ./pingserver:     C150DgmSocket::read: successful read with len=2 |f.|
09/25/2024 21:12:52.051859 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 2 |f.|
09/25/2024 21:12:52.051877 ./pingserver:     Successfully read 2 bytes. Message="f"
09/25/2024 21:12:52.051913 ./pingserver:     Responding with message="You said f. Don't you know how to play ping pong?"
09/25/2024 21:12:52.051940 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=50 |You said f. Don't you know how to play ping pong?.|
09/25/2024 21:12:52.052006 ./pingserver:     C150DgmSocket::write: Success writing packet with len=50 |You said f. Don't you know how to play ping pong?.|
09/25/2024 21:13:25.373318 ./pingserver:     C150DgmSocket::read: successful read with len=4 |frh.|
09/25/2024 21:13:25.373339 ./pingserver:     C150NastyDgmSocket::read: DELAYING packet of length 4 |frh.|
09/25/2024 21:13:26.419828 ./pingserver:     C150DgmSocket::read: successful read with len=4 |frh.|
09/25/2024 21:13:26.419848 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 4 |frh.|
09/25/2024 21:13:26.419867 ./pingserver:     Successfully read 4 bytes. Message="frh"
09/25/2024 21:13:26.419885 ./pingserver:     Responding with message="You said frh. Don't you know how to play ping pong?"
09/25/2024 21:13:26.419908 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=52 |You said frh. Don't you know how to play ping pong?.|
09/25/2024 21:13:26.419968 ./pingserver:     C150DgmSocket::write: Success writing packet with len=52 |You said frh. Don't you know how to play ping pong?.|
09/25/2024 21:16:56.160867 ./pingserver:     C150DgmSocket::read: successful read with len=6 |fjeiw.|
09/25/2024 21:16:56.160892 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 6 |fjeiw.|
09/25/2024 21:16:56.160910 ./pingserver:     Successfully read 6 bytes. Message="fjeiw"
09/25/2024 21:16:56.160929 ./pingserver:     Responding with message="You said fjeiw. Don't you know how to play ping pong?"
